ingredient_a,ingredient_b,score,shared_compounds,key_compounds,explanation
beer,bantu-beer,0.378,9,Phenethyl acetate;2-Acetylpyridine;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate,Subtle pairing with 9 shared flavor compounds including Phenethyl acetate
beer,brandy,0.659,32,Thiazole;Ethyl dodecanoate;octanoic acid;1-octanol;Isobutyl Acetate,Strong pairing with 32 shared flavor compounds including Thiazole
beer,anise-brandy,0.668,33,Thiazole;Ethyl dodecanoate;octanoic acid;1-octanol;Isobutyl Acetate,Strong pairing with 33 shared flavor compounds including Thiazole
beer,apple-brandy,0.743,44,Thiazole;Ethyl dodecanoate;Isopentyl hexanoate;octanoic acid;Isoamyl propionate,Strong pairing with 44 shared flavor compounds including Thiazole
beer,armagnac-brandy,0.668,33,Thiazole;Ethyl dodecanoate;octanoic acid;1-octanol;Isobutyl Acetate,Strong pairing with 33 shared flavor compounds including Thiazole
beer,blackberry-brandy,0.657,32,Thiazole;Ethyl dodecanoate;octanoic acid;1-octanol;Isobutyl Acetate,Strong pairing with 32 shared flavor compounds including Thiazole
beer,cherry-brandy,0.656,32,Thiazole;Ethyl dodecanoate;octanoic acid;1-octanol;Isobutyl Acetate,Strong pairing with 32 shared flavor compounds including Thiazole
beer,cognac-brandy,0.975,116,3-Methylbutanal;2-Methylbutanoic acid;oleic acid;Fenchol;Damascenone,Excellent pairing with 116 shared flavor compounds including 3-Methylbutanal
beer,papaya-brandy,0.657,32,Thiazole;Ethyl dodecanoate;octanoic acid;1-octanol;Isobutyl Acetate,Strong pairing with 32 shared flavor compounds including Thiazole
beer,pear-brandy,0.702,38,2-Methoxy-4-Methylphenol;Thiazole;Ethyl dodecanoate;Isopentyl hexanoate;octanoic acid,Strong pairing with 38 shared flavor compounds including 2-Methoxy-4-Methylphenol
beer,plum-brandy,0.726,42,Thiazole;4-Methyl-2-pentanone;Ethyl dodecanoate;Isopentyl hexanoate;Pentanal,Strong pairing with 42 shared flavor compounds including Thiazole
beer,raspberry-brandy,0.656,32,Thiazole;Ethyl dodecanoate;octanoic acid;1-octanol;Isobutyl Acetate,Strong pairing with 32 shared flavor compounds including Thiazole
beer,weinbrand-brandy,0.655,32,Thiazole;Ethyl dodecanoate;octanoic acid;1-octanol;Isobutyl Acetate,Strong pairing with 32 shared flavor compounds including Thiazole
beer,gin,0.427,12,Thiamine Hydrochloride;1-propanol;Myrcene;Heptanoic Acid;nerol,Good pairing with 12 shared flavor compounds including Thiamine Hydrochloride
beer,rum,0.987,118,3-Hexanone;2-Methylbutanoic acid;oleic acid;3-Methylbutanal;Damascenone,Excellent pairing with 118 shared flavor compounds including 3-Hexanone
beer,whisky,0.907,76,"2,6-Dimethylpyridine;1-Decanol;3-Ethylpyridine;2-Methylpyrazine;2-Methylbutanoic acid","Excellent pairing with 76 shared flavor compounds including 2,6-Dimethylpyridine"
beer,bourbon-whisky,0.916,79,2-Methylbutanoic acid;oleic acid;farnesol;Damascenone;trimethylamine,Excellent pairing with 79 shared flavor compounds including 2-Methylbutanoic acid
beer,canadian-whisky,0.896,73,"2,6-Dimethylpyridine;1-Decanol;3-Ethylpyridine;2-Methylpyrazine;2-Methylbutanoic acid","Excellent pairing with 73 shared flavor compounds including 2,6-Dimethylpyridine"
beer,finnish-whisky,0.908,77,2-Methylbutanoic acid;oleic acid;farnesol;Damascenone;Pyridine,Excellent pairing with 77 shared flavor compounds including 2-Methylbutanoic acid
beer,japanese-whisky,0.895,74,"2,6-Dimethylpyridine;1-Decanol;3-Ethylpyridine;2-Methylpyrazine;2-Methylbutanoic acid","Excellent pairing with 74 shared flavor compounds including 2,6-Dimethylpyridine"
beer,malt-whisky,0.944,90,2-Methylbutanoic acid;oleic acid;farnesol;Damascenone;trimethylamine,Excellent pairing with 90 shared flavor compounds including 2-Methylbutanoic acid
beer,scotch-whisky,0.916,81,2-Methylbutanoic acid;oleic acid;farnesol;Damascenone;Pyridine,Excellent pairing with 81 shared flavor compounds including 2-Methylbutanoic acid
beer,wine,0.978,105,3-Methylbutanal;Damascenone;Sinapic Acid;Methyl Hexanoate;Dimethyl disulfide,Excellent pairing with 105 shared flavor compounds including 3-Methylbutanal
beer,bilberry-wine,0.927,85,3-Methylbutanal;Damascenone;Methyl Hexanoate;Dimethyl disulfide;Geranyl Acetate,Excellent pairing with 85 shared flavor compounds including 3-Methylbutanal
beer,botrytized-wine,0.94,89,3-Methylbutanal;Damascenone;Pyruvic acid;Methyl Hexanoate;Dimethyl disulfide,Excellent pairing with 89 shared flavor compounds including 3-Methylbutanal
beer,champagne,0.929,85,3-Methylbutanal;Damascenone;Methyl Hexanoate;Dimethyl disulfide;Geranyl Acetate,Excellent pairing with 85 shared flavor compounds including 3-Methylbutanal
beer,cider,0.81,55,Isoamyl butyrate;2-Methylbutanoic acid;oleic acid;Ethyl dodecanoate;glycerol,Excellent pairing with 55 shared flavor compounds including Isoamyl butyrate
beer,plum-wine,0.932,86,3-Methylbutanal;Damascenone;Methyl Hexanoate;Dimethyl disulfide;Geranyl Acetate,Excellent pairing with 86 shared flavor compounds including 3-Methylbutanal
beer,port-wine,0.94,91,3-Methylbutanal;Damascenone;Isopentyl formate;Methyl Hexanoate;Dimethyl disulfide,Excellent pairing with 91 shared flavor compounds including 3-Methylbutanal
beer,red-wine,0.975,107,3-Methylbutanal;Damascenone;2-Acetylfuran;Methyl Hexanoate;Dimethyl disulfide,Excellent pairing with 107 shared flavor compounds including 3-Methylbutanal
beer,rose-wine,0.936,88,3-Methylbutanal;Damascenone;Methyl Hexanoate;Dimethyl disulfide;Geranyl Acetate,Excellent pairing with 88 shared flavor compounds including 3-Methylbutanal
beer,sake,0.653,30,oleic acid;lauric acid;Nonanoic Acid;lactic acid;Isobutyric Acid,Strong pairing with 30 shared flavor compounds including oleic acid
beer,sherry,0.984,114,3-Methylbutanal;oleic acid;Damascenone;Pyridine;Methyl Hexanoate,Excellent pairing with 114 shared flavor compounds including 3-Methylbutanal
beer,sparkling-wine,0.944,92,3-Methylbutanal;Isoamyl nonanoate;Damascenone;Methyl Hexanoate;Dimethyl disulfide,Excellent pairing with 92 shared flavor compounds including 3-Methylbutanal
beer,strawberry-wine,0.925,85,3-Methylbutanal;Damascenone;Methyl Hexanoate;Dimethyl disulfide;Geranyl Acetate,Excellent pairing with 85 shared flavor compounds including 3-Methylbutanal
beer,white-wine,0.974,121,3-Methylbutanal;Damascenone;Pyruvic acid;Methyl Hexanoate;Dimethyl disulfide,Excellent pairing with 121 shared flavor compounds including 3-Methylbutanal
beer,coffee,0.942,120,"Violet leaf aldehyde;2,3-Hexanedione;3-Methylbutanal;3-Hexanone;2-Methylbutanoic acid",Excellent pairing with 120 shared flavor compounds including Violet leaf aldehyde
beer,mate,0.678,34,Dodecanal;Violet leaf aldehyde;2-Methoxy-4-Methylphenol;1-Octen-3-Ol;Nerolidol,Strong pairing with 34 shared flavor compounds including Dodecanal
beer,black-tea,0.441,16,"Delta-Nonalactone;2,3-Pentanedione;palmitic acid;1-Penten-3-Ol;2-Acetyl-5-Methylfuran",Good pairing with 16 shared flavor compounds including Delta-Nonalactone
beer,green-tea,0.415,12,"Nerolidol;phenylacetaldehyde;1-Penten-3-Ol;gamma-Nonanolactone;2,3,5-Trimethylpyrazine",Good pairing with 12 shared flavor compounds including Nerolidol
bantu-beer,brandy,0.579,5,Phenethyl acetate;2-Acetylpyridine;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,anise-brandy,0.574,5,Phenethyl acetate;2-Acetylpyridine;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,apple-brandy,0.539,6,Phenethyl acetate;2-Acetylpyridine;2-Methyl-1-propanol;1-octanol;Methyl tetradecanoate,Good pairing with 6 shared flavor compounds including Phenethyl acetate
bantu-beer,armagnac-brandy,0.574,5,Phenethyl acetate;2-Acetylpyridine;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,blackberry-brandy,0.574,5,Phenethyl acetate;2-Acetylpyridine;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,cherry-brandy,0.57,5,Phenethyl acetate;2-Acetylpyridine;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,cognac-brandy,0.398,8,Phenethyl acetate;2-Acetylpyridine;Propionaldehyde;2-Methylbutyl Acetate;Pentanal,Subtle pairing with 8 shared flavor compounds including Phenethyl acetate
bantu-beer,papaya-brandy,0.574,5,Phenethyl acetate;2-Acetylpyridine;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,pear-brandy,0.523,5,Phenethyl acetate;2-Acetylpyridine;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,plum-brandy,0.62,8,Phenethyl acetate;2-Acetylpyridine;Propionaldehyde;Pentanal;2-Methyl-1-propanol,Strong pairing with 8 shared flavor compounds including Phenethyl acetate
bantu-beer,raspberry-brandy,0.57,5,Phenethyl acetate;2-Acetylpyridine;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,weinbrand-brandy,0.565,5,Phenethyl acetate;2-Acetylpyridine;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,rum,0.334,5,2-Methylbutyl Acetate;Propionaldehyde;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Subtle pairing with 5 shared flavor compounds including 2-Methylbutyl Acetate
bantu-beer,whisky,0.42,5,Phenethyl acetate;Propionaldehyde;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,bourbon-whisky,0.41,5,Phenethyl acetate;Propionaldehyde;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,canadian-whisky,0.424,5,Phenethyl acetate;Propionaldehyde;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,finnish-whisky,0.413,5,Phenethyl acetate;Propionaldehyde;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,japanese-whisky,0.415,5,Phenethyl acetate;Propionaldehyde;2-Methyl-1-propanol;1-octanol;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Phenethyl acetate
bantu-beer,malt-whisky,0.419,6,Phenethyl acetate;Propionaldehyde;2-Methylbutyl Acetate;2-Methyl-1-propanol;1-octanol,Good pairing with 6 shared flavor compounds including Phenethyl acetate
bantu-beer,scotch-whisky,0.466,7,Phenethyl acetate;Propionaldehyde;2-Methylbutyl Acetate;Pentanal;2-Methyl-1-propanol,Good pairing with 7 shared flavor compounds including Phenethyl acetate
bantu-beer,wine,0.421,7,Phenethyl acetate;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate;2-Methyl-1-propanol,Good pairing with 7 shared flavor compounds including Phenethyl acetate
bantu-beer,bilberry-wine,0.455,7,Phenethyl acetate;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate;2-Methyl-1-propanol,Good pairing with 7 shared flavor compounds including Phenethyl acetate
bantu-beer,botrytized-wine,0.45,7,Phenethyl acetate;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate;2-Methyl-1-propanol,Good pairing with 7 shared flavor compounds including Phenethyl acetate
bantu-beer,champagne,0.458,7,Phenethyl acetate;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate;2-Methyl-1-propanol,Good pairing with 7 shared flavor compounds including Phenethyl acetate
bantu-beer,cider,0.502,6,Phenethyl acetate;2-Methylbutyl Acetate;Pentanal;2-Methyl-1-propanol;1-octanol,Good pairing with 6 shared flavor compounds including Phenethyl acetate
bantu-beer,plum-wine,0.456,7,Phenethyl acetate;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate;2-Methyl-1-propanol,Good pairing with 7 shared flavor compounds including Phenethyl acetate
bantu-beer,port-wine,0.437,7,Phenethyl acetate;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate;2-Methyl-1-propanol,Good pairing with 7 shared flavor compounds including Phenethyl acetate
bantu-beer,red-wine,0.408,7,Phenethyl acetate;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate;2-Methyl-1-propanol,Good pairing with 7 shared flavor compounds including Phenethyl acetate
bantu-beer,rose-wine,0.449,7,Phenethyl acetate;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate;2-Methyl-1-propanol,Good pairing with 7 shared flavor compounds including Phenethyl acetate
bantu-beer,sake,0.321,2,dimethyl sulfide;Isobutyl Acetate,Subtle pairing; both contain dimethyl sulfide and Isobutyl Acetate
bantu-beer,sherry,0.392,7,Phenethyl acetate;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate;2-Methyl-1-propanol,Subtle pairing with 7 shared flavor compounds including Phenethyl acetate
bantu-beer,sparkling-wine,0.437,7,Phenethyl acetate;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate;2-Methyl-1-propanol,Good pairing with 7 shared flavor compounds including Phenethyl acetate
bantu-beer,strawberry-wine,0.451,7,Phenethyl acetate;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate;2-Methyl-1-propanol,Good pairing with 7 shared flavor compounds including Phenethyl acetate
bantu-beer,white-wine,0.383,8,Phenethyl acetate;dimethyl sulfide;Propionaldehyde;2-Methylbutyl Acetate;Pentanal,Subtle pairing with 8 shared flavor compounds including Phenethyl acetate
bantu-beer,mate,0.395,3,dimethyl sulfide;Propionaldehyde;Pentanal,"Subtle pairing; both contain dimethyl sulfide, Propionaldehyde and Pentanal"
brandy,anise-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
brandy,apple-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
brandy,armagnac-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
brandy,blackberry-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
brandy,cherry-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
brandy,cognac-brandy,0.893,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
brandy,papaya-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
brandy,pear-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
brandy,plum-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
brandy,raspberry-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
brandy,weinbrand-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
brandy,gin,0.616,6,Heptanoic Acid;nerol;2-Methyl-1-propanol;Methyl Acetate;1-Hexanol,Strong pairing with 6 shared flavor compounds including Heptanoic Acid
brandy,rum,0.765,34,Thiazole;Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol,Strong pairing with 34 shared flavor compounds including Thiazole
brandy,whisky,0.855,28,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 28 shared flavor compounds including Ethyl dodecanoate
brandy,bourbon-whisky,0.841,28,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 28 shared flavor compounds including Ethyl dodecanoate
brandy,canadian-whisky,0.862,28,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 28 shared flavor compounds including Ethyl dodecanoate
brandy,finnish-whisky,0.871,30,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 30 shared flavor compounds including Ethyl dodecanoate
brandy,japanese-whisky,0.848,28,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 28 shared flavor compounds including Ethyl dodecanoate
brandy,malt-whisky,0.814,29,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 29 shared flavor compounds including Ethyl dodecanoate
brandy,scotch-whisky,0.834,29,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 29 shared flavor compounds including Ethyl dodecanoate
brandy,wine,0.819,33,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 33 shared flavor compounds including Ethyl dodecanoate
brandy,bilberry-wine,0.856,32,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 32 shared flavor compounds including Ethyl dodecanoate
brandy,botrytized-wine,0.85,32,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 32 shared flavor compounds including Ethyl dodecanoate
brandy,champagne,0.86,32,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 32 shared flavor compounds including Ethyl dodecanoate
brandy,cider,0.765,19,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Strong pairing with 19 shared flavor compounds including Ethyl dodecanoate
brandy,plum-wine,0.869,33,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 33 shared flavor compounds including Ethyl dodecanoate
brandy,port-wine,0.854,34,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 34 shared flavor compounds including Ethyl dodecanoate
brandy,red-wine,0.798,33,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Strong pairing with 33 shared flavor compounds including Ethyl dodecanoate
brandy,rose-wine,0.859,33,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 33 shared flavor compounds including Ethyl dodecanoate
brandy,sake,0.497,5,Heptanoic Acid;Isovaleric Acid;Ethyl Undecanoate;octanoic acid;Isobutyl Acetate,Good pairing with 5 shared flavor compounds including Heptanoic Acid
brandy,sherry,0.792,35,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Strong pairing with 35 shared flavor compounds including Ethyl dodecanoate
brandy,sparkling-wine,0.843,33,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 33 shared flavor compounds including Ethyl dodecanoate
brandy,strawberry-wine,0.852,32,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 32 shared flavor compounds including Ethyl dodecanoate
brandy,white-wine,0.724,34,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Strong pairing with 34 shared flavor compounds including Ethyl dodecanoate
brandy,coffee,0.563,24,Thiazole;2-Furaldehyde;Methyl 2-furoate;octanoic acid;1-Hexanol,Good pairing with 24 shared flavor compounds including Thiazole
brandy,mate,0.313,3,nerol;2-Heptanone;2-Phenylethanol,"Subtle pairing; both contain nerol, 2-Heptanone and 2-Phenylethanol"
brandy,black-tea,0.499,8,2-Methylhexanoic Acid;2-Acetylpyridine;Pyridine;cis-3-Hexenyl acetate;Dimethyl trisulfide,Good pairing with 8 shared flavor compounds including 2-Methylhexanoic Acid
anise-brandy,apple-brandy,1.0,51,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 51 shared flavor compounds including Thiazole
anise-brandy,armagnac-brandy,1.0,51,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 51 shared flavor compounds including Thiazole
anise-brandy,blackberry-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
anise-brandy,cherry-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
anise-brandy,cognac-brandy,0.899,51,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 51 shared flavor compounds including Thiazole
anise-brandy,papaya-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
anise-brandy,pear-brandy,1.0,51,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 51 shared flavor compounds including Thiazole
anise-brandy,plum-brandy,1.0,51,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 51 shared flavor compounds including Thiazole
anise-brandy,raspberry-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
anise-brandy,weinbrand-brandy,1.0,50,Thiazole;4-isopropylbenzaldehyde;2-Methylhexanoic Acid;Ethyl dodecanoate;2-Furaldehyde,Excellent pairing with 50 shared flavor compounds including Thiazole
anise-brandy,gin,0.661,7,1-propanol;Heptanoic Acid;nerol;2-Methyl-1-propanol;Methyl Acetate,Strong pairing with 7 shared flavor compounds including 1-propanol
anise-brandy,rum,0.774,35,Thiazole;Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol,Strong pairing with 35 shared flavor compounds including Thiazole
anise-brandy,whisky,0.852,28,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 28 shared flavor compounds including Ethyl dodecanoate
anise-brandy,bourbon-whisky,0.852,29,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 29 shared flavor compounds including Ethyl dodecanoate
anise-brandy,canadian-whisky,0.859,28,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 28 shared flavor compounds including Ethyl dodecanoate
anise-brandy,finnish-whisky,0.869,30,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 30 shared flavor compounds including Ethyl dodecanoate
anise-brandy,japanese-whisky,0.845,28,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 28 shared flavor compounds including Ethyl dodecanoate
anise-brandy,malt-whisky,0.824,30,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 30 shared flavor compounds including Ethyl dodecanoate
anise-brandy,scotch-whisky,0.845,30,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 30 shared flavor compounds including Ethyl dodecanoate
anise-brandy,wine,0.829,34,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 34 shared flavor compounds including Ethyl dodecanoate
anise-brandy,bilberry-wine,0.865,33,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 33 shared flavor compounds including Ethyl dodecanoate
anise-brandy,botrytized-wine,0.859,33,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 33 shared flavor compounds including Ethyl dodecanoate
anise-brandy,champagne,0.869,33,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 33 shared flavor compounds including Ethyl dodecanoate
anise-brandy,cider,0.781,20,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Strong pairing with 20 shared flavor compounds including Ethyl dodecanoate
anise-brandy,plum-wine,0.878,34,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 34 shared flavor compounds including Ethyl dodecanoate
anise-brandy,port-wine,0.863,35,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 35 shared flavor compounds including Ethyl dodecanoate
anise-brandy,red-wine,0.808,34,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 34 shared flavor compounds including Ethyl dodecanoate
anise-brandy,rose-wine,0.868,34,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 34 shared flavor compounds including Ethyl dodecanoate
anise-brandy,sake,0.542,6,1-propanol;Heptanoic Acid;Isovaleric Acid;Ethyl Undecanoate;octanoic acid,Good pairing with 6 shared flavor compounds including 1-propanol
anise-brandy,sherry,0.801,36,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 36 shared flavor compounds including Ethyl dodecanoate
anise-brandy,sparkling-wine,0.853,34,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 34 shared flavor compounds including Ethyl dodecanoate
anise-brandy,strawberry-wine,0.861,33,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Excellent pairing with 33 shared flavor compounds including Ethyl dodecanoate
anise-brandy,white-wine,0.733,35,Ethyl dodecanoate;2-Furaldehyde;octanoic acid;1-octanol;1-Hexanol,Strong pairing with 35 shared flavor compounds including Ethyl dodecanoate
anise-brandy,coffee,0.562,24,Thiazole;2-Furaldehyde;Methyl 2-furoate;octanoic acid;1-Hexanol,Good pairing with 24 shared flavor compounds including Thiazole
anise-brandy,mate,0.312,3,nerol;2-Heptanone;2-Phenylethanol,"Subtle pairing; both contain nerol, 2-Heptanone and 2-Phenylethanol"
